Time,Value
20.524,723993
20.524,724529
20.5249,725065
20.5249,725601
20.545,726137
20.545,726673
20.5459,727209
20.5459,727745
20.566,728281
20.566,728817
20.566,729353
20.5669,729889
20.5669,730425
20.587,730961
20.587,731497
20.5879,732033
20.5879,732569
20.6075,733105
20.6075,733641
20.6084,734177
20.6084,734713
20.628,735249
20.628,735785
20.6289,736321
20.6289,736857
20.6485,737393
20.6485,737929
20.6494,738465
20.6494,739001
20.6494,739537
20.669,740073
20.669,740609
20.67,741145
20.67,741681
20.6709,742217
20.6709,742753
20.69,743289
20.69,743825
20.6909,744361
20.6909,744897
20.6919,745433
20.6919,745969
20.711,746505
20.711,747041
20.7119,747577
20.7119,748113
20.7129,748649
20.7129,749185
20.732,749721
20.732,750257
20.7329,750793
20.7329,751329
20.7339,751865
20.7339,752401
20.7339,752937
20.753,753473
20.753,754009
20.7539,754545
20.7539,755081
20.7549,755617
20.7549,756153
20.7735,756689
20.7735,757225
20.7744,757761
20.7744,758297
20.7744,758833
20.7754,759369
20.7758,759905
20.794,755081
20.7949,760441
20.7954,760977
20.7959,761513
20.7964,762049
20.7968,762585
20.8145,763121
20.8159,763657
20.8159,764193
20.8169,764729
20.8169,765265
20.835,765801
20.835,766337
20.835,766873
20.8369,767409
20.8369,767945
20.8379,768481
20.8379,769017
20.856,769553
20.856,770089
20.8574,770625
20.8574,771161
20.8584,771697
20.8584,772233
20.8584,772769
20.8765,773305
20.8765,773841
20.878,774377
20.878,774913
20.8789,775449
20.8789,775985
20.8798,776521
20.8798,777057
20.8975,777593
20.8985,778129
20.8989,773305
20.9004,778665
20.9008,779201
20.919,775985
20.919,779737
20.9195,780273
20.9214,780809
20.9395,781345
20.94,777593
20.94,781881
20.9405,778665
20.9405,782417
20.9419,782953
20.9601,783489
20.9605,784025
20.961,778665
20.961,784561
20.9615,785097
20.9624,785633
20.9811,786169
20.9811,786705
20.9825,787241
20.9825,787777
21.0016,788313
21.0035,788849
21.0221,785633
21.024,786705
21.024,787241
21.024,789385
21.0426,789921
21.0445,790457
21.045,790993
21.065,791529
21.065,792065
21.0655,792601
21.0856,789921
21.086,793137
21.0865,793673
21.1061,794209
21.107,794745
21.107,795281
21.1275,795817
21.1275,796353
21.148,796889
21.148,797425
21.148,797961
21.1686,798497
21.1686,799033
21.1695,799569
21.1695,800105
21.1896,800641
21.1896,801177
21.1905,801713
21.1905,802249
21.2105,802785
21.2105,803321
21.2105,803857
21.2115,804393
21.2115,804929
21.232,805465
21.232,806001
21.2325,806537
21.2329,803321
21.253,807073
21.2535,807609
21.2735,808145
21.274,808681
21.294,809217
21.2945,809753
21.3146,810289
21.315,810825
21.3351,811361
21.3356,811897
21.3556,812433
21.3561,812969
21.3761,813505
21.3766,814041
21.3966,814577
21.3971,815113
21.4172,815649
21.4176,816185
21.4377,816721
21.4582,817257
21.4787,817793
21.4993,816185
21.4993,818329
21.5203,818865
21.5408,819401
21.5613,819937
21.5818,820473
21.6024,821009
21.6229,821545
21.6434,822081
